PAINEL,DATA,LINK,REDE,ATUALIZAR
PENDENTES DE SOLUÇÃO (Diário-1),02-02-2025,https://trt7.shinyapps.io/pendentes_de_soluo/,X:\SGE\GABINETE\Shiny\PENDENTES DE SOLUÇÃO,"Acesse o endereço de rede. Caso já tenha configurado o ambiente, é suficiente executar o arquivo 'atualizacao.R'. Veja a documentação completa em: https://confluence.trt7.jus.br/confluence/pages/viewpage.action?pageId=89104928"
HALO (Diário),05/02/2025,https://app.powerbi.com/view?r=eyJrIjoiMmQ0NmE2ZjUtNjRkMi00ZjI3LWFlM2QtN2RhNGJmYTBjMjFlIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI HALO,OBS: Esse BI atualiza automaticamente pelo serviço web. Acesse o endereço de rede. Abra o arquivo 'Análise de Fluxo - PJE.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar' 
HERMES (Diário),05/02/2025,https://app.powerbi.com/view?r=eyJrIjoiMmQ0NmE2ZjUtNjRkMi00ZjI3LWFlM2QtN2RhNGJmYTBjMjFlIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI HERMES,OBS: Esse BI atualiza automaticamente pelo serviço web. Acesse o endereço de rede. Abra o arquivo 'Painel Hermes.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar' 
AÇÕES PRIORITÁRIAS PJE (Diário),03/02/2025,https://app.powerbi.com/view?r=eyJrIjoiMmUzMDJiYTgtYjFjZS00ODVmLWIxMmUtNGFhMTc5MmIyNjAyIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI PROCESSOS COM TRAMITAÇÃO PRIORITÁRIA PENDENTES DE BAIXA IDOSOS,OBS: Esse BI atualiza automaticamente pelo serviço web. Acesse o endereço de rede. Abra o arquivo 'Processos com tramitação prioritária pendentes de baixa_17022023_PJE.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
AÇÕES PRIORITÁRIAS (Diário),03/02/2025,https://app.powerbi.com/view?r=eyJrIjoiMmUzMDJiYTgtYjFjZS00ODVmLWIxMmUtNGFhMTc5MmIyNjAyIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI PROCESSOS COM TRAMITAÇÃO PRIORITÁRIA PENDENTES DE BAIXA IDOSOS,OBS: Esse BI atualiza automaticamente pelo serviço web. Acesse o endereço de rede. Abra o arquivo 'Processos com tramitação prioritária pendentes de baixa_17022023.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
IGEST (Mensal),01/01/2024 - 31/12/2024,https://app.powerbi.com/view?r=eyJrIjoiYjExZGVmZTgtNjU0NC00MDAwLWJkYzgtNThlYjQwYTJhMDNhIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI IGEST\igest1,"Acesse o endereço na rede. Execute os scripts 'tab_princ.R' e 'prepara_dataset.R'. A execução desses scripts resultará na criação dos arquivos .csv com os dados necessários para que o painel seja atualizado. Com os dados gerados, Abra o aquivo 'igest.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar.  "
TRT7 EM NÚMEROS (Mensal) ,31/12/2024,https://app.powerbi.com/view?r=eyJrIjoiNTZhZTIzY2QtMGY2My00NDZkLWE4MDUtMWI3Y2ViMTRiNzQ5IiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI TRT7 EM NUMEROS ATUALIZADO,Acesse o endereço de rede. Abra o arquivo 'TRT 7 EM NÚMEROS - IMPLEMENTANDO.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
RELATÓRIO DE DESEMPENHO IGEST (Mensal),01/01/2024  -  31/12/2024,https://igest.shinyapps.io/home/,X:\SGE\GABINETE\Shiny\IGest RMD,Acesse o endereço na rede. Execute o arquivo 'consultas.R'. Execute o arquivo 'gerador.R'.'Mova os 112 arquivos para a pasta home dentro da pasta shinyapp: 37 html + 37 pdf + 37xlsx com os nomes da varas + o arquivos nomesvara.xlsx. Execute o Script deploy.R 
APTOS A JULGAMENTO (Mensal),31/12/2024,https://app.powerbi.com/view?r=eyJrIjoiYjliODY4ZWUtOTZkYy00MjE0LWI1N2MtYzEyYTJkODRkZTJiIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI PROCESSOS APTOS A JULGAMENTO,Acesse o endereço de rede. Abra o arquivo 'Provimento_4_2018_CGJT_NEW_QUERY.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
MOVIMENTAÇÃO PROCESSUAL DOS ÓRGÃOS JULGADORES (Mensal),30/11/2024,https://app.powerbi.com/view?r=eyJrIjoiMWVmMTNhMzktYmQ3My00MTViLWIzODUtOTA5NjUzZTg4YWVhIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI TURMAS, Acesse o endereço de rede. Abra o arquivo 'Acompanhamento Turmas.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
ACOMPANHAMENTO DAS CARGAS (Diário),05/02/2025 ,https://app.powerbi.com/view?r=eyJrIjoiNGVhYWFkYTYtZGYzNC00ZThlLWIwMDUtODFhNzdhYmZjMGFhIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\Shiny\BI Remessa,OBS: Esse BI atualiza automaticamente pelo serviço web. Acesse o endereço de rede. Abra o arquivo 'BI Remessa.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
PROCESSOS PENDENTES COM O PRAZO VENCIDO(Diário-1),02/02/2025,https://app.powerbi.com/view?r=eyJrIjoiNjNkYzhlYWYtMGI3Yi00NjU5LTk2OWEtODE0MmMxZTQxYjljIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI Pendentes com o relator,OBS: Esse BI atualiza automaticamente pelo serviço web. Acesse o endereço de rede. Abra o arquivo 'pendentes com o relator.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar'
RECURSOS DISTRIBUÍDOS NO 2º GRAU POR ASSUNTO (Mensal),31/01/2025,https://app.powerbi.com/view?r=eyJrIjoiYjY3NTdhNmMtN2Q1ZS00YmQyLWJmZTUtYTIyYTQzYTAyNjYwIiwidCI6IjYxOGE5ZWVkLWYxM2MtNDU4Ny1iODgzLTAwNWZiY2Q4N2FlZCJ9,X:\SGE\GABINETE\BI ASSUNTOS, Acesse o endereço de rede. Abra o arquivo 'Painel de Assuntos.pbix'.  Clique no Botão 'Atualizar'.  Clique no Botão 'Publicar' 
